rate	title	country	rating_sum	year
5.5	不准掉头	香港	57.0	1981
7.3	再世惊魂	香港	57.0	1991
6.1	温拿与教叔	香港	57.0	1976
6.4	春蚕	香港	57.0	1969
4.6	半暹降	香港	57.0	1988
6.2	999谁是凶手	香港	58.0	1994
7.3	细圈仔	香港	58.0	1982
5.7	俏皮女学生	香港	58.0	1982
8.2	两个女人，一个靓，一个唔靓	香港	58.0	1992
4.6	千年魔界	香港	58.0	1991
5.4	天煞	香港	58.0	1986
6.5	尖东老泥妹之四大天后	香港	58.0	1995
5.5	包青天之五鼠斗御猫	香港	58.0	2005
7.0	新陈三五娘	香港	59.0	1967
4.8	黑血	香港	59.0	2000
7.6	一板之隔	香港	59.0	1952
7.1	小山东到香港	香港	59.0	1975
6.5	山东狂人	香港	59.0	1985
6.4	八月郁金香	香港	59.0	1992
7.2	你OK，我OK!	香港	59.0	1987
5.1	城市判官	香港	59.0	1989
7.4	祝福	香港	59.0	1990
5.5	梅山收七怪	香港	59.0	1973
7.2	一代妖姬	香港	59.0	1950
6.0	追击	香港	59.0	1971
5.7	有Friend无惊	香港	60.0	1984
6.3	千面大盗	香港	60.0	1968
5.4	走佬威龙	香港	60.0	1993
7.2	香车美人	香港	60.0	1959
5.0	4X100 水著份子	香港	60.0	2001
3.4	PTU女警之偶然陷阱	香港	60.0	2005
6.7	美好2014	香港	60.0	2014
6.7	小云雀	香港	60.0	1965
3.9	尸蛊艳谭	香港	60.0	1993
5.5	失身	香港	61.0	1973
5.5	老鼠街	香港	61.0	1981
4.5	冒牌天皇	香港	61.0	2004
4.3	特警雄威	香港	61.0	1992
5.9	绝密档案：迷失世界	香港	61.0	2002
6.7	13号凶宅	香港	61.0	1975
9.3	蝶影红梨记	香港	61.0	1959
6.8	尖东枭雄	香港	62.0	1985
6.3	苦恋	香港	62.0	1947
7.2	陷阱边沿	香港	62.0	1988
8.0	血染海棠红	香港	62.0	1949
5.5	犯罪天才	香港	62.0	1994
5.8	不解之谜	香港	63.0	2001
6.9	江湖子弟	香港	63.0	1976
6.6	宝莲灯	香港	63.0	1964
6.6	欢天喜地对亲家	香港	63.0	1978
5.1	赤子拳王	香港	63.0	2004
6.3	当碧咸遇上奥云	香港	63.0	2004
5.9	龙虎会风云	香港	63.0	1973
6.5	血手印	香港	63.0	1964
6.0	七擒七纵七色狼	香港	63.0	1970
6.0	买起曼克顿	香港	64.0	1992
6.8	阿德晒命	香港	64.0	1994
4.1	新扎师姐2：不安全地带	香港	64.0	2003
6.1	神经大侠	香港	64.0	1982
4.8	旺角大家姐	香港	64.0	1994
5.2	执法者	香港	64.0	1981
5.0	僵尸再翻生	香港	64.0	1986
5.2	龙虎沟	香港	64.0	1967
7.0	草莽英雄	香港	64.0	1992
5.6	衰鬼抓狂	香港	64.0	1988
6.2	绣绣和她的男人	香港	64.0	1995
6.1	床上的故事	香港	65.0	1977
6.8	裸尸痕	香港	65.0	1969
6.5	山贼	香港	65.0	1966
5.6	乌龙贼替身	香港	65.0	1988
5.5	驳脚差佬	香港	65.0	1991
5.9	我爱金龟婿	香港	65.0	1971
5.1	珠江恩仇记	香港	66.0	1994
4.0	赤裸红唇	香港	66.0	2000
6.3	同居	香港	66.0	1975
5.8	镖旗飞扬	香港	66.0	1975
6.6	老夫子	香港	66.0	1975
5.6	赌魂	香港	66.0	1992
